Region,Country,State,City,Month,Day,Year,AvgTemperature
Africa,Algeria,,Algiers,1,1,2018,58.1
Africa,Algeria,,Algiers,1,2,2018,55.9
Africa,Algeria,,Algiers,1,3,2018,55.1
Africa,Algeria,,Algiers,1,4,2018,-99
Africa,Algeria,,Algiers,1,5,2018,53.1
Africa,Algeria,,Algiers,1,6,2018,59.1
Africa,Algeria,,Algiers,1,7,2018,52.9
Africa,Algeria,,Algiers,1,8,2018,50.1
Africa,Algeria,,Algiers,1,9,2018,49.7
Africa,Algeria,,Algiers,1,10,2018,49.1
Africa,Algeria,,Algiers,1,11,2018,54.2
Africa,Algeria,,Algiers,1,12,2018,50.6
Africa,Algeria,,Algiers,1,13,2018,47.4
Africa,Algeria,,Algiers,1,14,2018,50.9
Africa,Algeria,,Algiers,1,15,2018,50
Africa,Algeria,,Algiers,1,16,2018,50.3
Africa,Algeria,,Algiers,1,17,2018,52.9
Africa,Algeria,,Algiers,1,18,2018,49.6
Africa,Algeria,,Algiers,1,19,2018,54.6
Africa,Algeria,,Algiers,1,20,2018,55.5
Africa,Algeria,,Algiers,1,21,2018,56.4
Africa,Algeria,,Algiers,1,22,2018,54.5
Africa,Algeria,,Algiers,1,23,2018,52.9
Africa,Algeria,,Algiers,1,24,2018,50.2
Africa,Algeria,,Algiers,1,25,2018,51.5
Africa,Algeria,,Algiers,1,26,2018,51.5
Africa,Algeria,,Algiers,1,27,2018,49.9
Africa,Algeria,,Algiers,1,28,2018,51.6
Africa,Algeria,,Algiers,1,29,2018,49.4
Africa,Algeria,,Algiers,1,30,2018,52.4
Africa,Algeria,,Algiers,1,31,2018,53.4
Africa,Algeria,,Algiers,2,1,2018,56.3
Africa,Algeria,,Algiers,2,2,2018,52.4
Africa,Algeria,,Algiers,2,3,2018,45.9
Africa,Algeria,,Algiers,2,4,2018,48.2
Africa,Algeria,,Algiers,2,5,2018,53.9
Africa,Algeria,,Algiers,2,6,2018,49.2
Africa,Algeria,,Algiers,2,7,2018,48.4
Africa,Algeria,,Algiers,2,8,2018,45.7
Africa,Algeria,,Algiers,2,9,2018,45.7
Africa,Algeria,,Algiers,2,10,2018,43.6
Africa,Algeria,,Algiers,2,11,2018,46.2
Africa,Algeria,,Algiers,2,12,2018,54.3
Africa,Algeria,,Algiers,2,13,2018,51.5
Africa,Algeria,,Algiers,2,14,2018,53.3
Africa,Algeria,,Algiers,2,15,2018,52.5
Africa,Algeria,,Algiers,2,16,2018,53.7
Africa,Algeria,,Algiers,2,17,2018,56.9
Africa,Algeria,,Algiers,2,18,2018,55.3
Africa,Algeria,,Algiers,2,19,2018,52.5
Africa,Algeria,,Algiers,2,20,2018,50.7
Africa,Algeria,,Algiers,2,21,2018,51.6
Africa,Algeria,,Algiers,2,22,2018,45.9
Africa,Algeria,,Algiers,2,23,2018,46.2
Africa,Algeria,,Algiers,2,24,2018,45.2
Africa,Algeria,,Algiers,2,25,2018,47.8
Africa,Algeria,,Algiers,2,26,2018,50.6
Africa,Algeria,,Algiers,2,27,2018,50
Africa,Algeria,,Algiers,2,28,2018,58.5
Africa,Algeria,,Algiers,3,1,2018,64.2
Africa,Algeria,,Algiers,3,2,2018,62.2
Africa,Algeria,,Algiers,3,3,2018,63.3
Africa,Algeria,,Algiers,3,4,2018,58.6
Africa,Algeria,,Algiers,3,5,2018,57.3
Africa,Algeria,,Algiers,3,6,2018,57.7
Africa,Algeria,,Algiers,3,7,2018,56.6
Africa,Algeria,,Algiers,3,8,2018,57.1
Africa,Algeria,,Algiers,3,9,2018,64
Africa,Algeria,,Algiers,3,10,2018,68.3
Africa,Algeria,,Algiers,3,11,2018,62.5
Africa,Algeria,,Algiers,3,12,2018,59.1
Africa,Algeria,,Algiers,3,13,2018,56.4
Africa,Algeria,,Algiers,3,14,2018,60.6
Africa,Algeria,,Algiers,3,15,2018,60.8
Africa,Algeria,,Algiers,3,16,2018,54.8
Africa,Algeria,,Algiers,3,17,2018,56.2
Africa,Algeria,,Algiers,3,18,2018,55.2
Africa,Algeria,,Algiers,3,19,2018,54.8
Africa,Algeria,,Algiers,3,20,2018,52.2
Africa,Algeria,,Algiers,3,21,2018,45.1
Africa,Algeria,,Algiers,3,22,2018,44.7
Africa,Algeria,,Algiers,3,23,2018,50.8
Africa,Algeria,,Algiers,3,24,2018,55
Africa,Algeria,,Algiers,3,25,2018,55.3
Africa,Algeria,,Algiers,3,26,2018,51.8
Africa,Algeria,,Algiers,3,27,2018,53.7
Africa,Algeria,,Algiers,3,28,2018,58.9
Africa,Algeria,,Algiers,3,29,2018,61
Africa,Algeria,,Algiers,3,30,2018,59.3
Africa,Algeria,,Algiers,3,31,2018,58.6
Africa,Algeria,,Algiers,4,1,2018,54.4
Africa,Algeria,,Algiers,4,2,2018,70.3
Africa,Algeria,,Algiers,4,3,2018,63.6
Africa,Algeria,,Algiers,4,4,2018,60.5
Africa,Algeria,,Algiers,4,5,2018,58.2
Africa,Algeria,,Algiers,4,6,2018,67.4
Africa,Algeria,,Algiers,4,7,2018,66.4
Africa,Algeria,,Algiers,4,8,2018,57.7
Africa,Algeria,,Algiers,4,9,2018,58.6
Africa,Algeria,,Algiers,4,10,2018,56.8
Africa,Algeria,,Algiers,4,11,2018,57.8
Africa,Algeria,,Algiers,4,12,2018,58.7
Africa,Algeria,,Algiers,4,13,2018,57.1
Africa,Algeria,,Algiers,4,14,2018,54.7
Africa,Algeria,,Algiers,4,15,2018,58.2
Africa,Algeria,,Algiers,4,16,2018,57.7
Africa,Algeria,,Algiers,4,17,2018,59.1
Africa,Algeria,,Algiers,4,18,2018,57.8
Africa,Algeria,,Algiers,4,19,2018,57.9
Africa,Algeria,,Algiers,4,20,2018,62
Africa,Algeria,,Algiers,4,21,2018,64.1
Africa,Algeria,,Algiers,4,22,2018,64.9
Africa,Algeria,,Algiers,4,23,2018,66.7
Africa,Algeria,,Algiers,4,24,2018,66.9
Africa,Algeria,,Algiers,4,25,2018,65.1
Africa,Algeria,,Algiers,4,26,2018,62.7
Africa,Algeria,,Algiers,4,27,2018,61.3
Africa,Algeria,,Algiers,4,28,2018,63.5
Africa,Algeria,,Algiers,4,29,2018,60.5
Africa,Algeria,,Algiers,4,30,2018,55.2
Africa,Algeria,,Algiers,5,1,2018,56
Africa,Algeria,,Algiers,5,2,2018,59.6
Africa,Algeria,,Algiers,5,3,2018,58.3
Africa,Algeria,,Algiers,5,4,2018,58.9
Africa,Algeria,,Algiers,5,5,2018,59.1
Africa,Algeria,,Algiers,5,6,2018,61
Africa,Algeria,,Algiers,5,7,2018,60.2
Africa,Algeria,,Algiers,5,8,2018,62.3
