date,Archer-Daniels-Midland,Automatic Data Processing,Analog Devices
2/8/2013,30.22,60.925,45.7
2/11/2013,30.28,60.34,46.08
2/12/2013,30.81,60.36,46.27
2/13/2013,31.16,60.45,46.26
2/14/2013,31.4,60.74,46.54
2/15/2013,32.57,61.22,46.175
2/19/2013,33.08,61.46,47.01
2/20/2013,32.5,61.21,45.79
2/21/2013,32.11,60.27,45.12
2/22/2013,32.1,61.01,45.52
2/25/2013,31.7,60.77,44.77
2/26/2013,31.83,61.08,45
2/27/2013,32,61.59,45.38
2/28/2013,31.86,61.36,45.22
3/1/2013,31.97,61.65,45.23
3/4/2013,32.02,61.835,45.3
3/5/2013,32.21,62.66,45.77
3/6/2013,32.32,62.3,46.12
3/7/2013,32.57,63.34,45.71
3/8/2013,32.54,63.35,46.05
3/11/2013,32.46,63.87,46.44
3/12/2013,32.56,63.97,46.48
3/13/2013,32.93,64.18,46.48
3/14/2013,32.91,65.02,46.505
3/15/2013,33,64.48,45.53
3/18/2013,32.69,64.22,44.85
3/19/2013,32.7,64.31,44.91
3/20/2013,33.01,64.425,45.66
3/21/2013,32.61,63.73,44.55
3/22/2013,32.78,64.08,44.9
3/25/2013,32.57,63.93,44.64
3/26/2013,32.83,64.79,45.75
3/27/2013,32.97,64.66,45.75
3/28/2013,33.73,65.03,46.49
4/1/2013,33.69,64.685,45.41
4/2/2013,34.11,65.28,45.2
4/3/2013,33.23,64.75,44.06
4/4/2013,33.59,64.72,43.745
4/5/2013,33.17,63.77,43.61
4/8/2013,33.32,64.26,44
4/9/2013,32.73,64.46,44.07
4/10/2013,33.17,65.66,45.1
4/11/2013,32.98,66.11,44.9
4/12/2013,32.64,65.91,44.59
4/15/2013,31.52,64.46,43.84
4/16/2013,32.18,65.41,44.74
4/17/2013,32.07,65.35,42.85
4/18/2013,31.91,64.63,42.34
4/19/2013,32.18,65.23,42.36
4/22/2013,32.22,65.5,42.66
4/23/2013,32.55,66.36,43.43
4/24/2013,32.39,66.67,43.46
4/25/2013,33.18,66.77,43.65
4/26/2013,33.47,66.59,43.3
4/29/2013,34.03,67.14,43.66
4/30/2013,33.94,67.34,43.99
5/1/2013,33.58,66.82,43.88
5/2/2013,33.6,67.39,44.21
5/3/2013,34.2,69.23,45
5/6/2013,33.88,68.685,45.82
5/7/2013,34.34,68.65,45.78
5/8/2013,34.4,68.56,46.08
5/9/2013,33.91,70,46.38
5/10/2013,34.06,70.03,46.79
5/13/2013,33.99,70.08,46.25
5/14/2013,34.06,70.81,46.34
5/15/2013,34.71,71.74,46.69
5/16/2013,34.16,70.98,46.5
5/17/2013,35,71.99,47.02
5/20/2013,34.4,71.05,46.87
5/21/2013,34.71,71.03,46.56
5/22/2013,34.14,70.26,45.55
5/23/2013,34.16,69.93,45.49
5/24/2013,33.88,69.85,45.37
5/28/2013,34.14,70.49,45.48
5/29/2013,33.43,69.77,45.62
5/30/2013,33.31,69.81,46.24
5/31/2013,32.23,68.72,45.93
6/3/2013,32.65,69.55,45.82
6/4/2013,33,68.97,46.13
6/5/2013,32.6,67.86,45.39
6/6/2013,32.65,67.94,45.47
6/7/2013,32.91,68.91,46.21
6/10/2013,33.1,68.78,45.95
6/11/2013,33.12,68.11,45.02
6/12/2013,32.89,67.33,44.15
6/13/2013,33.39,68.28,45.1
6/14/2013,33.08,68.01,44.95
6/17/2013,33.27,68.7,45.95
6/18/2013,33.83,69.6,46.66
6/19/2013,33.26,69.04,46.04
6/20/2013,32.61,68.2,44.67
6/21/2013,33.09,68.68,45.16
6/24/2013,32.93,68.38,44.03
6/25/2013,33.17,68.84,44.52
6/26/2013,33.58,69.35,45.07
6/27/2013,33.71,69.37,45.37
6/28/2013,33.91,68.86,45.06
7/1/2013,34.35,69.45,45.37
7/2/2013,34.87,70.08,45.31
7/3/2013,34.81,70.24,45.68
7/5/2013,34.88,70.75,46.21
7/8/2013,35.36,70.97,45.76
7/9/2013,35.72,71.04,46.26
7/10/2013,35.9,71.75,46.73
7/11/2013,36.19,71.85,48
7/12/2013,36.31,73.41,48.35
7/15/2013,36.22,72.36,48.4
7/16/2013,35.71,72.3,48.52
7/17/2013,35.69,72.32,48.66
7/18/2013,35.79,72.82,48.34
7/19/2013,36.68,72.88,47.98
7/22/2013,36.17,73.16,47.94
7/23/2013,36.56,72.49,48.38
7/24/2013,36.07,72.22,48.23
7/25/2013,36.64,72.17,48.75
7/26/2013,36.67,72.48,48.56
7/29/2013,36.36,72.1,48.5
7/30/2013,36.02,72.14,48.93
7/31/2013,36.47,72.092,49.38
8/1/2013,37.18,71.85,49.94
8/2/2013,37.57,71.58,49.87
8/5/2013,37.86,71.6,49.58
8/6/2013,37.89,72.24,49.42
8/7/2013,37.76,71.99,49.15
8/8/2013,38.3,72.34,49.1
8/9/2013,38.38,72.46,49
8/12/2013,38.56,72.8,49.41
8/13/2013,38.63,72.99,49.58
8/14/2013,38.54,72.68,48.88
8/15/2013,37.03,71.61,47.83
8/16/2013,37.25,71.89,48.305
8/19/2013,36.58,71.9,47.78
8/20/2013,36.59,72.34,47.85
8/21/2013,36.3,71.83,46.95
8/22/2013,36.07,72.44,47.24
8/23/2013,36.28,72.28,47.33
8/26/2013,34.5,72.03,47.22
8/27/2013,34.63,70.94,46.16
8/28/2013,34.6,70.94,46.17
8/29/2013,34.81,71.3,46.49
8/30/2013,35.21,71.16,46.28
9/3/2013,35.4,71.41,46.66
9/4/2013,36.1,72.05,47.45
9/5/2013,36.19,72.34,47.29
9/6/2013,35.79,73.13,47.04
9/9/2013,36.11,73.79,47.3
9/10/2013,36.08,73.74,47.879
9/11/2013,36.13,74.01,48.245
9/12/2013,35.99,74.18,47.96
9/13/2013,36.22,74.09,47.95
9/16/2013,36.75,74.1,48.3
9/17/2013,37.16,74.16,48.49
9/18/2013,37.11,74.74,48.5
9/19/2013,37.06,74.68,48.38
9/20/2013,37.24,74.43,47.995
9/23/2013,36.63,73.13,47.56
9/24/2013,36.77,72.95,47.74
9/25/2013,36.67,72.52,47.58
9/26/2013,36.81,72.92,47.45
9/27/2013,37.12,72.56,46.89
9/30/2013,36.84,72.38,47.05
10/1/2013,36.85,72.16,47.11
10/2/2013,37.18,72.02,46.8
10/3/2013,36.75,71.1,46.32
10/4/2013,36.7,71.52,46.99
10/7/2013,36.42,71.02,46.64
10/8/2013,36.19,70.24,45.7
10/9/2013,36.33,70.28,45.69
10/10/2013,37.07,71.81,46.65
10/11/2013,36.59,72.51,46.98
10/14/2013,36.97,72.86,47.27
10/15/2013,36.82,72.32,46.73
10/16/2013,37.52,73.72,47.24
10/17/2013,37.9,74.08,47.52
10/18/2013,38.02,74.19,47.66
10/21/2013,38.66,74.7,47.75
10/22/2013,39.49,75.45,47.64
10/23/2013,39.27,75.11,46.48
10/24/2013,39.18,75.41,46.95
10/25/2013,39.93,75.51,46.75
10/28/2013,39.84,75.67,47.48
10/29/2013,40.73,76.35,49.17
10/30/2013,41,74.3,48.78
10/31/2013,40.9,75.025,49.3
11/1/2013,40.9,75.31,49.68
11/4/2013,40.87,75.51,49.16
11/5/2013,41.98,75.51,49.79
11/6/2013,41.76,75.83,49.93
11/7/2013,41.23,75.33,49.14
11/8/2013,41.44,76.01,49.8
11/11/2013,41.14,75.76,49.66
11/12/2013,40.42,75.72,49.85
11/13/2013,41.43,76.45,50.35
11/14/2013,42,76.97,50.361
11/15/2013,40.56,77.33,50.69
11/18/2013,40.94,77.36,50.11
11/19/2013,40.97,79.71,49.45
11/20/2013,39.9,79.05,49.08
11/21/2013,41.15,79.78,49.77
11/22/2013,41.86,80.01,49.76
11/25/2013,41.35,80.12,49.66
11/26/2013,41.6,80.31,49.92
11/27/2013,41.49,80.33,48.54
11/29/2013,40.25,80.02,48.22
12/2/2013,40.85,79.57,48.4
12/3/2013,41.1,80.34,49.56
12/4/2013,41.73,79.33,48.77
12/5/2013,41.47,78.53,48.82
12/6/2013,41.94,79.66,49.27
12/9/2013,42.48,79.01,49.01
12/10/2013,42.36,78.51,48.91
12/11/2013,41.71,77.43,48.67
12/12/2013,40.59,77.15,48.11
12/13/2013,40.34,77.02,48.41
12/16/2013,40.66,77.515,48.74
12/17/2013,41.48,77.25,48.94
12/18/2013,43.14,79.09,49.78
12/19/2013,43.79,79.425,49.66
12/20/2013,43.36,79.97,50.01
12/23/2013,43.04,79.94,50.62
12/24/2013,43.27,80.22,50.63
12/26/2013,43.65,80.75,50.74
12/27/2013,43.76,80.72,50.7
12/30/2013,43.69,81.08,50.85
12/31/2013,43.4,80.799,50.93
1/2/2014,42.99,79.86,49.28
1/3/2014,43.19,80.73,49.61
1/6/2014,43.28,79.81,49.33
1/7/2014,42.85,80.78,49.59
1/8/2014,42.36,80.35,49.71
1/9/2014,42.16,80.63,49.52
1/10/2014,41.98,80.35,49.53
1/13/2014,41.53,79.05,48.87
1/14/2014,42.33,79.95,49.71
1/15/2014,42.45,80.09,50.02
1/16/2014,41.25,79.81,49.82
1/17/2014,41.01,79.97,49.38
1/21/2014,41.37,80.32,49.98
1/22/2014,42.25,80.38,50.37
1/23/2014,40.84,79.31,49.41
1/24/2014,39.57,76.97,48.25
1/27/2014,39.36,76.5,48.22
1/28/2014,40.07,77.03,48.51
1/29/2014,39.22,76.53,48.27
1/30/2014,39.51,77.3,48.89
1/31/2014,39.48,76.6,48.27
2/3/2014,38.91,74.08,47.26
2/4/2014,38.23,74.95,47.69
2/5/2014,38.66,73.53,47.85
2/6/2014,39.11,74.2,48.35
2/7/2014,39.89,74.89,48.97
2/10/2014,40.11,74.45,49.22
2/11/2014,40.53,74.66,49.75
2/12/2014,40.65,75.58,49.89
2/13/2014,40.67,76.21,50.69
2/14/2014,40.78,76.27,50.77
2/18/2014,40.53,76.49,51.23
2/19/2014,39.95,76.15,51.57
2/20/2014,40.12,76.51,51.4
2/21/2014,39.99,76.2,51.12
2/24/2014,40.16,76.8,50.96
2/25/2014,40.39,77.01,50.8
2/26/2014,40.39,77.42,50.84
2/27/2014,39.89,77.72,51.03
2/28/2014,40.6,77.78,50.82
3/3/2014,39.88,76.67,50.58
3/4/2014,40.7,78.45,51.2
3/5/2014,40.67,77.72,51.24
3/6/2014,40.94,78.03,51.57
3/7/2014,41.33,78.56,51.83
3/10/2014,42.45,78.21,51.8
3/11/2014,42.45,77.9,51.52
3/12/2014,42.93,77.69,51.73
3/13/2014,42.4,76.99,50.45
3/14/2014,42.51,77.55,50.09
3/17/2014,42.56,78.49,50.68
3/18/2014,42.93,78.99,51.44
3/19/2014,42.66,78.29,51.6
3/20/2014,42.7,78.34,53.225
3/21/2014,42.67,77.75,53.24
3/24/2014,42.3,76.45,53.61
3/25/2014,42.41,76.68,53.29
3/26/2014,42.7,76.2,52.75
3/27/2014,43.1,76.67,52.58
3/28/2014,43.21,76.95,52.84
3/31/2014,43.39,77.26,53.14
4/1/2014,43.43,77.5,54.08
4/2/2014,43.43,77.67,54.06
4/3/2014,43.15,77.37,53.98
4/4/2014,43.05,75.82,52.92
4/7/2014,43.6,75.27,53.12
4/8/2014,43.53,75.56,53.96
4/9/2014,44.38,75.88,54.3
4/10/2014,44.17,75.22,52.49
4/11/2014,44.41,73.73,52.09
4/14/2014,44.69,74.24,52.46
4/15/2014,44.27,75.08,53.18
4/16/2014,45.02,75.43,52.15
4/17/2014,45.04,76.31,52.85
4/21/2014,44.89,76.06,52.9
4/22/2014,44.61,76.33,53.3
4/23/2014,44.73,76.29,53.29
4/24/2014,44.63,76.62,53.7
4/25/2014,44.42,75.66,51.42
4/28/2014,44.38,75.68,50.99
4/29/2014,43.23,76.99,51.19
4/30/2014,43.73,77.96,51.29
5/1/2014,43.24,77.62,50.82
5/2/2014,43.55,77.54,51.41
5/5/2014,43.41,77.87,51.18
5/6/2014,43.14,77.06,50.74
5/7/2014,44.27,77.46,50.8
5/8/2014,44.07,77.85,51.31
5/9/2014,44.39,78.07,51.25
5/12/2014,44.67,78.89,52.23
5/13/2014,44.31,78.92,51.47
5/14/2014,43.85,78.09,51.06
5/15/2014,43.53,76.75,50.78
5/16/2014,43.82,77.81,51.6
5/19/2014,43.89,78.05,51.98
5/20/2014,43.33,77.56,51.98
5/21/2014,43.86,77.72,51.33
5/22/2014,43.65,78.08,51.74
5/23/2014,43.56,78.85,52.39
5/27/2014,44.32,79.3,53.02
5/28/2014,44.29,78.87,52.45
5/29/2014,44.64,79.56,52.26
5/30/2014,44.94,79.68,52.38
6/2/2014,44.85,79.38,52.37
6/3/2014,44.35,78.71,52.47
6/4/2014,44.31,78.83,52.49
6/5/2014,44.97,78.7,52.57
6/6/2014,45.18,79.61,52.69
6/9/2014,45.14,80,55.31
6/10/2014,45.14,79.4,55.79
6/11/2014,44.66,78.54,55.63
6/12/2014,43.47,78.25,55.44
6/13/2014,43.84,78.81,55.62
6/16/2014,44.22,78.65,55.5
6/17/2014,44.41,78.22,55.7
6/18/2014,44.43,78.61,55.13
6/19/2014,45.12,78.46,54.93
6/20/2014,44.87,79.45,54.69
6/23/2014,44.98,79.22,54.52
6/24/2014,44.28,79.06,53.87
6/25/2014,43.89,79.25,53.75
6/26/2014,43.93,79.11,53.55
6/27/2014,43.82,79.48,53.5
6/30/2014,44.11,79.28,54.07
7/1/2014,44.85,80.37,54.52
7/2/2014,45.32,80.22,54.41
7/3/2014,45.77,80.59,54.825
7/7/2014,46.5,80.44,54.66
7/8/2014,45.94,80.47,54.45
7/9/2014,46.15,80.47,54.74
7/10/2014,47.35,80.145,54.4
7/11/2014,47.85,80.13,54.29
7/14/2014,48.07,80.34,53.85
