price,rooms,meter,in_TLV?
2850000,1.5,32,yes
1650000,1,25,yes
2420000,2.5,56,yes
2700000,4,104,yes
2100000,4,85,yes
1990000,4,81,yes
2220000,3,76,yes
3490000,3,79,yes
5850000,5,116,yes
4160000,3,90,yes
2300000,2,52,yes
2575000,3,65,yes
1480000,3,74,yes
4400000,4,102,yes
3200000,4,90,yes
9000000,6.5,280,yes
1470000,10,220,yes
6000000,4,90,yes
3830000,3,70,yes
2350000,4,110,yes
2370000,2,50,yes
1950000,3,60,yes
1180000,3,74,yes
2400000,2,50,yes
3650000,3,70,yes
3890000,4,95,yes
4100000,3,100,yes
3800000,4.5,112,yes
2900000,4,100,yes
5900000,4,108,yes
3100000,3,68,yes
2750000,2.5,51,yes
4450000,2,60,yes
5200000,5,136,yes
5450000,5,150,yes
2600000,2,55,yes
2750000,5,110,yes
4490000,3,85,yes
4250000,3,72,yes
1920000,4.5,110,no
2930000,4,140,no
1799000,4.5,120,no
1290000,4.5,90,no
3400000,5,130,no
1700000,4.5,108,no
2890000,4,95,no
8000000,7,330,no
1900000,5.5,144,no
850000,2.5,70,no
2800000,4,106,no
1895000,7,150,no
3400000,5,130,no
950000,4,85,no
2400000,3,70,no
830000,3,80,no
3350000,3.5,100,no
1640000,3,66,no
1950000,3.5,87,no
1790000,6,150,no
2500000,4,100,no
3290000,4,114,no
670000,3,65,no
2050000,4,160,no
2050000,5,115,no
3250000,4,112,no
1060000,4,120,no
3150000,5,122,no
3280000,4.5,92,no
680000,3.5,70,no
1700000,4,100,no
870000,3.5,75,no
1720000,3,80,no
2850000,5,140,no
2750000,4,117,no
1200000,4,140,no
3350000,4,115,no
3960000,5,118,no
2890000,3,89,no
720000,2.5,67,no
